date,open,high,low,close,volume,value,diff,change,sign,shcode,marketcap,diff_vol,chdegree,sojinrate,changerate,fpvolume,covolume,ppvolume,o_sign,o_change,o_diff,h_sign,h_change,h_diff,l_sign,l_change,l_diff
20251210,53900,54000,53600,53800,116012,6234,-0.37,-200,5,017670,11555705,-67.79,52.35,73.69,0.05,0,0,0,5,-100,-0.19,3,0,0.00,5,-400,-0.74
20251209,54000,54000,53600,54000,360127,19397,0.19,100,2,017670,11598663,-9.71,114.69,73.69,0.17,-74624,63588,13299,2,100,0.19,2,100,0.19,5,-300,-0.56
20251208,54300,54400,53700,53900,398841,21505,-0.92,500,5,017670,11577184,-13.34,96.44,73.77,0.19,-138180,26878,110738,5,-100,-0.18,3,0,0.00,5,-700,-1.29
20251205,54100,54400,54000,54400,460225,24954,0.37,200,2,017670,11684579,-1.16,126.15,73.78,0.21,135502,67483,-187797,5,-100,-0.18,2,200,0.37,5,-200,-0.37
20251204,53700,54200,53600,54200,465614,25129,0.56,300,2,017670,11641621,-17.43,126.55,73.78,0.22,-44590,193285,-145796,5,-200,-0.37,2,300,0.56,5,-300,-0.56
20251203,53400,54000,53400,53900,563915,30326,0.94,500,2,017670,11577184,37.27,140.97,73.84,0.26,131239,94126,-221665,3,0,0.00,2,600,1.12,3,0,0.00
20251202,53500,53700,53300,53400,410815,21973,-0.19,100,5,017670,11469789,12.25,83.31,73.68,0.19,30604,-58350,40121,3,0,0.00,2,200,0.37,5,-200,-0.37
20251201,53700,53800,53100,53500,365995,19545,0.00,0,3,017670,11491268,12.88,71.94,73.65,0.17,-14322,-17893,33533,2,200,0.37,2,300,0.56,5,-400,-0.75
20251128,53500,53700,53300,53500,324236,17340,0.19,100,2,017670,11491268,-27.92,74.21,73.68,0.15,-55835,122993,-64428,2,100,0.19,2,300,0.56,5,-100,-0.19
20251127,53700,54300,53300,53400,449828,24139,-1.29,700,5,017670,11469789,-42.07,63.28,73.74,0.21,-102835,-10205,114867,5,-400,-0.74,2,200,0.37,5,-800,-1.48
20251126,53900,54200,53600,54100,776549,41941,1.12,600,2,017670,11620142,4.71,139.08,73.88,0.36,221366,94977,-316472,2,400,0.75,2,700,1.31,2,100,0.19
20251125,53900,54000,53500,53500,741627,39796,-1.11,600,5,017670,11491268,-86.14,108.00,73.64,0.35,-13971,-43008,56393,5,-200,-0.37,5,-100,-0.18,5,-600,-1.11
20251124,53600,54100,53100,54100,5350020,288887,1.31,700,2,017670,11620142,567.19,62.76,73.69,2.49,463981,-98686,-352803,2,200,0.37,2,700,1.31,5,-300,-0.56
20251121,53300,53600,52900,53400,801872,42675,0.00,0,3,017670,11469789,25.84,170.79,73.26,0.37,56514,99371,-169890,5,-100,-0.19,2,200,0.37,5,-500,-0.94
20251120,53700,53900,53400,53400,637226,34168,0.00,0,3,017670,11469789,-9.15,86.04,73.16,0.30,128278,-74114,-56933,2,300,0.56,2,500,0.94,3,0,0.00
20251119,52900,53700,52700,53400,701409,37429,1.33,700,2,017670,11469789,12.83,242.85,73.05,0.33,212013,59131,-256705,2,200,0.38,2,1000,1.90,3,0,0.00
20251118,53400,53700,52700,52700,621674,33040,-1.68,900,5,017670,11319436,1.00,47.21,72.82,0.29,-14454,-117658,129690,5,-200,-0.37,2,100,0.19,5,-900,-1.68
20251117,53900,54000,53300,53600,615499,32998,-0.56,300,5,017670,11512747,1.42,66.86,72.86,0.29,9288,-3617,11287,3,0,0.00,2,100,0.19,5,-600,-1.11
20251114,54100,54400,53900,53900,606861,32843,-0.37,200,5,017670,11577184,-28.05,154.45,72.87,0.28,166290,111502,-248687,3,0,0.00,2,300,0.55,5,-200,-0.37
20251113,54000,54300,53800,54100,843445,45655,0.00,0,3,017670,11620142,57.32,84.46,72.71,0.39,76364,-47649,-31171,5,-100,-0.18,2,200,0.37,5,-300,-0.55
20251112,54300,54400,54100,54100,536150,29091,-0.18,100,5,017670,11620142,-18.49,67.69,72.62,0.25,84554,-34836,-49985,2,100,0.18,2,200,0.37,5,-100,-0.18
20251111,54000,54400,53800,54200,657758,35501,0.56,300,2,017670,11641621,-32.66,99.63,72.54,0.31,186874,-172795,-40588,2,100,0.19,2,500,0.93,5,-100,-0.19
20251110,53800,54400,53600,53900,976744,52917,0.94,500,2,017670,11577184,8.24,162.15,72.37,0.45,348073,80536,-428814,2,400,0.75,2,1000,1.87,2,200,0.37
20251107,53200,53600,52800,53400,902399,48026,-0.19,100,5,017670,11469789,-9.27,169.35,72.03,0.42,124388,-68834,-71372,5,-300,-0.56,2,100,0.19,5,-700,-1.31
20251106,52900,53700,52800,53500,994595,53044,1.52,800,2,017670,11491268,-9.98,183.63,71.91,0.46,62924,92167,-165316,2,200,0.38,2,1000,1.90,2,100,0.19
20251105,52400,52700,51800,52700,1104824,57734,0.57,300,2,017670,11319436,11.60,115.47,71.86,0.51,112426,12043,-128456,3,0,0.00,2,300,0.57,5,-600,-1.15
20251104,52300,52900,52200,52400,990020,52018,0.58,300,2,017670,11254999,-21.85,113.22,71.73,0.46,-146761,56306,82425,2,200,0.38,2,800,1.54,2,100,0.19
20251103,52900,52900,52100,52100,1266806,66394,-0.38,200,5,017670,11190562,-11.82,67.91,71.86,0.59,-479968,-110411,603789,2,600,1.15,2,600,1.15,5,-200,-0.38
20251031,52100,52300,51400,52300,1436642,74527,-0.76,400,5,017670,11233520,-30.81,65.83,72.36,0.67,-123571,-283696,387975,5,-600,-1.14,5,-400,-0.76,5,-1300,-2.47
20251030,53900,54100,51900,52700,2076493,109866,-2.59,1400,5,017670,11319436,93.22,73.58,72.46,0.97,-368836,-158576,483965,5,-200,-0.37,3,0,0.00,5,-2200,-4.07
20251029,53900,54700,53700,54100,1074651,58104,0.56,300,2,017670,11620142,88.16,117.17,72.85,0.50,-149885,36617,83519,2,100,0.19,2,900,1.67,5,-100,-0.19
20251028,53700,53900,53600,53800,571131,30678,0.00,0,3,017670,11555705,14.59,91.74,72.97,0.27,-8634,-25080,25411,5,-100,-0.19,2,100,0.19,5,-200,-0.37
20251027,53800,54100,53800,53800,498423,26864,0.00,0,3,017670,11555705,-51.12,57.45,72.95,0.23,-108654,-21059,122721,3,0,0.00,2,300,0.56,3,0,0.00
